,阅读数,评论数,标题,作者,最后更新,情绪
255,99,0,中石油涨到二十四块左右，5OO0点可以滴,辛勤工作地白羊座,08-24 01:26,0.5544003758125461
256,306,4,现在就是整个A股被新能源光伏绑架了，其他板块一旦拉,我的天啊2,08-24 01:22,0.06228092674050045
257,1946,44, 看图，本周我的进账！2022年08月13日。,高回低买,08-24 01:18,0.023970047697880803
258,243,8,2：30砸盘，别拦着。,股友999c9F8168,08-24 01:11,0.27224837561035486
259,3016,4,操作贴:券商拉动大盘，主流板块还有希望不？,小苹果滴滴哒,08-24 01:08,0.8175285736541917
260,538,4, 大家好，今天指数已在站上二十均线并回撤一下二十均线,陈哥实战,08-24 01:08,0.14322857958770696
261,112,0,上证指数永远也到不了5000以上了，发行那么多股，指数,和气广进地何书桓,08-24 01:03,0.5389128497163131
262,330,0,老美的做法真是，，，刷屏！任正非高喊“活下来”，称,牧童黑白马双骑,08-24 01:02,0.7819984026830071
263,264,1,任正非：全球经济长期衰退华为要把活下来作为主要纲领,赢盈乐,08-24 01:02,0.8586745033057992
264,1811,31,（8.15-8.19）每周一贴，盘中更新，只做个人判断记录,股海沉浮一世乐,08-24 01:02,0.5922944234995807
265,2041,16, 长得比我还帅。,大牛前行,08-24 00:59,0.5473395977492972
266,211,3,安正时尚(SH603839)$10派5？？牛逼 $安正时尚(SH60383,KL百事可乐29273,08-24 00:56,0.9994920118298897
267,2469,41,开个帖子来说一下短线和中长线,立于晨,08-24 00:56,0.5108134921264859
268,195,3, 挺不错，挺励志的呀！,牧童黑白马双骑,08-24 00:49,0.9704749984684804
269,362,7,外资百亿出货，内外双杀,高追低卖,08-24 00:49,0.8221778638517373
270,4914,12,今天是8月23日，现在20点08分，得知股市有3条重要消息,股侠钟超,08-24 00:47,0.024290738534637257
271,149,2,多少年了依然还是熊市！对得起鸡还是对得起鸭？,快乐云端,08-24 00:45,0.9848729742757589
272,11195,654,关键位置已破！下周一还有下探，关注3266点位，需要看,前线股指,08-24 00:43,0.8842092258467733
273,467,3, 研判、精选、建仓，准备好了吗？[微笑],赢盈乐,08-24 00:40,0.9475969913729486
274,122,1, 为应对全球变暖，英国己使用HⅤ0生物油替代普通柴油！,股友3wjVBh,08-24 00:37,0.9968357858118148
275,118,0,明天碳排放，碳中和概念，绿电等概念开启上涨。,敢暴跌我就买,08-24 00:35,0.21981618255579993
276,4960,1,8月24日打新：STBX上市吃肉，JZ恢复招股；转债组合创,小牛记事本,08-24 00:29,0.019322396702798894
277,5229,16,新旧能源领涨，券商异动，药酒砸盘，又是上车好时机，,大眼海豚,08-24 00:26,0.21648765207913168
278,4526,19,目前大盘正处于三浪上升中，其实到今天为止，市场现在,极致TYT武艺奇艺,08-24 00:25,0.9663518203939088
279,232,0,主力回流助攻力度有限，明天仍需谨慎|资金眼日评2022.,资金眼,08-24 00:18,0.9198045152125938
280,112,0,为应对全球变暖，英国己使用HⅤ0生物油替代普通柴油！,股友3wjVBh,08-24 00:18,0.9968357858118148
281,98,0,上半年经济并不容易，在人家各方面感扰下取得这个成绩,牧童黑白马双骑,08-24 00:15,0.5921764614394022
282,7603,259, 市场很强,酒无常山赵子龙,08-24 00:15,0.8896616838551225
283,4688,5,周二继续逢低吸纳低价筹码，回调是加仓好机会！,江门财富,08-24 00:10,0.8378257651049654
284,785,24,目前三只票走势极其磨人，但不代表走的不好，对人的意,吉祥广进风清扬,08-24 00:07,0.04187464298581878
285,210,0,大盘会涨吗？,股吧 ,08-24 00:05,0.7743161439740393
286,501,0,天道酬牛！下周一铁牛三债有木有惊喜？众泰重整迷雾或,赚得顺,08-24 00:01,0.7164344937010222
287,2027,3,大盘走势分析1：今天大盘探底回升后有冲高回落收了根,波段视觉,08-23 23:59,0.33172023678259777
288,632,13,#半年赚120亿，通威股份化身印钞机#股价天天跌！,农场地主,08-23 23:58,0.34041085662607573
289,108,0,股民就像石缝间的生命，让你从石头缝看到希望的永远是,牧童黑白马双骑,08-23 23:56,0.9493891075892716
290,5659,23,A股，有望完成调整,欢喜老船长,08-23 23:52,0.2317824971490381
291,6547,33,当前行情需要带头大哥,熙凤吖,08-23 23:46,0.890142453148024
292,129,0,建设机械的锅盖即将盖上，太可怕了，这股聪24元跌到5,股东做短线,08-23 23:45,0.0002665369762835379
293,88,0,好标的，今天迎来了第一支涨停[旺柴][旺柴][旺柴],喜欢操底怎么办,08-23 23:43,0.9737737246692467
294,2477,4,追涨杀跌？北上资金狂抛药明康德，医疗何时才能抄底？,小尘理财,08-23 23:43,0.6050922423773347
295,79,0,华为都有可能倒，那小盘股还能活吗？答案呼之欲出，注,获利盘与套牢盘,08-23 23:43,0.9459725517774266
296,1173,7,小心下周月盘收官周机构杀跌：,股海翱翔55,08-23 23:43,0.0016292576000650483
297,514,0,悲观到极致也就乐观了,三天俩涨停,08-23 23:42,0.9500283549832605
298,1427,6,白酒又跌险守生命线不用慌，明天反弹概率很大,老基友教你投资,08-23 23:42,0.17496379508452997
299,93,0, 做人痛苦的根源就是理想和现实的差距；填补这差距的是,狙击主力训练营,08-23 23:39,0.9970541756778667
300,207,3, 今年的钱格外好赚。,岁月终将流逝,08-23 23:38,0.26319626727130585
301,1102,9, 9月1日低点,安泰_antai,08-23 23:37,0.09792086219178009
302,320,12,我明天出数源了。目标价已到！[憨笑]看到的是缘分,天路烟尘庄小娮,08-23 23:37,0.10148277386073601
303,3666,73,今晚帖子有点晚了,人称苏半仙啊,08-23 23:37,0.13471880864660457
304,92,0,华仪600290公司是好公司，经营的产品也是好产品，公司,股东做短线,08-23 23:36,0.7233780370622975
305,229,5, 2022.08.23今日盈利200，券商又要雄起了,小梅牛,08-23 23:35,0.8273164060619652
306,5134,73, 今天盈利4281礼拜六礼拜天两天也没有闲着养了12年的小,大侠五哥,08-23 23:30,0.054601986883453746
307,102,0,华为都有可能倒，那小盘股还能活吗？答案呼之欲出，注,获利盘与套牢盘,08-23 23:30,0.9459725517774266
308,4501,7,光伏继续涨，今天能加仓吗？白酒、医药跌跌不休该怎么,是空小白啊,08-23 23:29,0.08480048773598448
309,1488,32,中午收盘，券商态度已经很明确了，下午突破3300点！今,广东女侠,08-23 23:28,0.9643394689985602
310,93,0,麻烦八月跌一下，我预测七月阴，八月阴，九月最低微破,莫名其妙被改名,08-23 23:27,0.8633915345258664
311,111,0,执迷不悟是一种路径依赖现象,沉睡的号角,08-23 23:23,0.9124313628822776
312,117,1,今天没什么多说的，属于打酱油的一天,十年一剑2016,08-23 23:22,0.3469898106307897
313,5539,131,$恒生指数期货主力(HKINDEXF|HSI_M)$7月终落幕，如本,短线博弈008,08-23 23:21,0.6981554209352566
314,1087,2,炒股，一旦在高位出现这8种信号，不要犹豫赶紧离场，,炒股养家56888,08-23 23:17,0.9037474406914977
315,126,0, 明日预判,国际笨笨,08-23 23:17,0.7826653358894131
316,481,15, md，北向资金上周进了59亿，今天下班打开手机一看，一,湘A操盘手,08-23 23:17,0.8985732771473255
317,134,0, 一图读懂杭州银行2022年中报（机构抛弃招行买杭州银行,徒步滚雪球,08-23 23:15,0.2642543688149209
318,3625,8,隔夜外围集体走弱，A股今天又是逆势反弹？,趋势与取舍,08-23 23:15,0.604023880552952
319,1036,5,上证指数：下周考验3200-20之间的支撑作用！超级主力,菜农择匠庄,08-23 23:15,0.8352767119041692
320,5488,329,3284，关键位置！需要看票的朋友点赞留言，闲时一一回,前线股指,08-23 23:15,0.9744733276152676
321,5991,292,明天冲高回落，留上影线。需要看票的朋友点赞留言，闲,前线股指,08-23 23:15,0.7315512700657685
322,5401,301,注意，变盘在即！需要看票的朋友点赞留言，闲时一一回,前线股指,08-23 23:15,0.9192216108037222
323,357,6,存量资金涨跌轮动,金苹果JN,08-23 23:15,0.7265429700462517
324,67,0, $上证指数(SH000001)$,M51L00股市小庄家,08-23 23:15,0.5608304540994631
325,1043,9,指数今天反弹还是缩量的情况，没有放量自然高度有限，,登顶PLY久幺吾韭,08-23 23:12,0.6748166034224041
326,62,0, [图片],股市李鬼,08-23 23:10,0.5826086956521737
327,275,0,2022年8月23日（周二）解盘,简单讲一下,08-23 23:10,0.024894387631588133
328,62,0,今天个股没有暴跌。那明天个股补跌，明天底开低走,标致的射手,08-23 23:09,0.015339996852937743
329,137,4,我一加重仓，大盘就会暴跌，我现在一直忍着不加,股友818e0w5910,08-23 23:08,0.18387089738699447
330,78,0, 梦醒了！！！！,魔法小猫,08-23 23:06,0.4458369762577955
331,72,0, 请问这是为什么呢？为什么指数都不一样的？[摊手][摊,yanfa20182337,08-23 23:06,0.04978725318932942
332,62,0,有哪些曾经的白马，蓝筹现在还跌成的,周2年3,08-23 23:05,0.9298994758705798
333,1113,7,夜已深，关于明日A股的行情，我想再强调几句，请大家,广东女侠,08-23 23:05,0.7042230679317568
334,84,0,豫能控股，长春燃气，新潮能源三剑客。东宝生物，上海,股市李鬼,08-23 23:04,0.05676308489223569
335,65,0,垃圾也炒上天了退出见好就收不玩了,吉祥如意地左冷禅,08-23 23:03,0.007299905437735177
336,50,0,干,好牛背,08-23 23:01,0.25210084033613434
337,140,2, 八月底就看能源天然气的持续性了,恒指zxc2v3t6,08-23 23:01,0.6050201160444371
338,5508,112,个股暂不建议抄入，大盘調势未尽。,吉祥广进风清扬,08-23 22:58,0.005776310320828815
339,136,1,尾盘拉升[想一下]老乡别走我还能砸[色][色][色],逢低不空逢高不多,08-23 22:57,0.00014595795760186103
340,95343,538,今日莫慌,萍踪狐影,08-23 22:57,0.890142453148024
341,694,3,对于上证指数来说，最主要的位置就是3230这个位置，只,蔚蓝尤佳,08-23 22:57,0.8841816868158251
342,28338,35,今天是8月23号，截止早上6点10分钟，有3条重要消息，,股侠钟超,08-23 22:57,0.0026650255132750766
343,160,2, 本周结束，目前两个交易账户稍有获利！下周以稳为主，,飞哥短线,08-23 22:56,0.30443941090558
344,72,0,听说明天互联网国产软件云计算大数据可能有异动[为什,不看空不看多N,08-23 22:55,0.9098093935669146
345,55,0,转发,股友29895Gu232,08-23 22:55,0.5
346,82,0,打短，今天明新四个点跑了，对于我这种今天买明天卖的,桂林大吊哥,08-23 22:54,0.22978014623748821
347,130,0,本轮大周期判断一，全面大涨概率：极小原因：国际、国,无影95,08-23 22:52,0.6004395455988831
348,101,2, 股票高开高走低开低走一点都不影响散户吃面,博乐金升,08-23 22:52,0.2620843681963937
349,308,3,大盘这里还不是无脑蛮干的时候，接下来必须强势，如果,我是香克斯,08-23 22:51,0.2564042284315615
350,92,0,就像通威向下游组件进攻一样，发电企业一定会向储能进,人生苦短淡然处之,08-23 22:50,0.5380687407191697
351,81,0, 明天能给个一字么,阿专龙头,08-23 22:50,0.2845935741427815
352,1117,7,st天润重见光明会进入倒计时吗？？？？？敬请拭目以待,智者兵法,08-23 22:50,0.8519166863439797
353,501,1, 在疫情之下，软件稳定增速10.3%！,雾海渔夫,08-23 22:50,0.7286855075908646
354,472,2,收评：市场方向，还是在光伏锂电电力能源今日市场震荡,好习惯终生受用,08-23 22:50,0.3020742523461528
355,118,2,主力资金抛弃了新能源，锂电池，钠电池，半导体等！重,YLSFGPDX,08-23 22:49,0.8886024031009091
356,484,10,A股生存录之每日总结（2022年8月23日）,鹰兄本色2030,08-23 22:49,0.6294587739675263
357,9794,53,虚拟现实题材个股投资机会之分析,乐少侠,08-23 22:49,0.9935787829665345
358,1002,4,很多朋友喜欢打板，打板的确赚钱很快，但同时风险也很,蔚蓝尤佳,08-23 22:47,0.9910353523072751
359,57,0,#聚焦热门中报解读，挖掘隐藏投资机会#,年年暴富地丁春秋,08-23 22:46,0.997717308992607
360,2970,37,提醒一个风险，今天st盈方恢复上市，大概率上市即巅峰,陈浩南2022,08-23 22:42,0.3081576290941833
361,73,0,倒车接人，赶紧买票上车！,生机成章地邀月,08-23 22:41,0.031112991257311484
362,223,3, 按120分钟级别目前均线及下方macd形态看，个人认为…,炼炼8,08-23 22:41,0.29692411176055555
363,1150,14, 早盘量能和上周五基本持平因此全天量能至少在4200亿以,乐奇东尼,08-23 22:38,0.34666438154064394
364,1072,19,前贴提到过的暴风骤雨会出现在戊土段,玄维时空,08-23 22:37,0.8617711756542016
365,785,4,st天润崛起之势已经进入倒计时刻'？战将们持有的千万,智者兵法,08-23 22:36,0.11234905941705586
366,356,6, 帮我看看，买的是不是多了点。留那个,开朗得樱木花道,08-23 22:34,0.2903569406106148
367,4350,6,白酒、医药、军工等调整，又给机会了?今日加这个,yi只小鱼,08-23 22:32,0.9637038510005436
368,174,1,全场结束！拒绝下跌，彰显出A股的韧性神通广大。1、开,从股论基,08-23 22:31,0.043779480098792956
369,176,4,今天只赚到一万块差评！震荡市，震到九月底再说吧,西郊蛇王,08-23 22:30,0.009111866843809824
370,105,1,外资开始布局权重了，真聪名[赞],伪命题散户思维,08-23 22:25,0.6199399688624952
371,1401,2,晚间消息面解读|公募老将减仓券商加仓新能源 意味着什,龙行天下虎呀,08-23 22:24,0.9867082249905501
372,161,0,还是持续关注锂电,价值投资看人性,08-23 22:24,0.8709225860250258
373,767,23,2022-8-22大盘短线3278压力考验3251长线支撑，周支撑3,古东昇,08-23 22:24,0.9622926726541854
374,493,1, 今天北向资金在竭尽全力做空是决战吗？,jas123456,08-23 22:22,0.9900141274404618
375,26557,715,聊几句，能慰藉（8.20晚）,畅享快乐,08-23 22:21,0.4666515974321116
376,2781,14,短期风险加剧，大盘调整幅度可能超出预期,跟紧热点,08-23 22:20,0.32334084781152117
377,1174,24,收盘，券商再次带头上攻，大盘依然无法突破！然而盘面,广东女侠,08-23 22:20,0.9430726652224891
378,148,2,继续看涨煤炭股很简单，水电出力太少，支撑了煤炭需求,影春秋,08-23 22:19,0.45179167420077204
379,256,4,希望大盘一直绿，反正我也不玩了[坏笑],花开暴富得游坦之,08-23 22:18,0.4029377315033036
380,371,2,特高压，电力能源行业，盈利稳定，上涨趋势，短线两次,LeueL8,08-23 22:17,0.09864143854586727
381,410,0,夜已深，关于明日A股的行情，我想再强调几句，请大家,坤阳股战场,08-23 22:17,0.7042230679317568
382,202,0,【公司利好】2022.08.23 星期二,韭零后投资,08-23 22:13,0.24545576230364474
383,67,0,内啡肽、内啡肽，痛苦的抑制清醒的释放。刚开始学习的,善于思考是否,08-23 22:13,0.9839847154203198
384,69,0,转发,股海人生6666,08-23 22:12,0.5
385,88,0,#“锂王”涨停回应锂价分歧#从K线上看，新能源电池股,股友09y5h81552,08-23 22:10,0.7616372143793249
386,67,0,解套王,云都m,08-23 22:10,0.9415632280801207
387,288,0,823正经人交易日记,股市小晓生,08-23 22:08,0.817003645226358
388,84,0,北上资金走出100亿，降了0.05%，终于走上成熟之路。,股友15q377O725,08-23 22:07,0.992992833512706
389,87,0,储能概念买起来，送钱行情,光芒66,08-23 22:06,0.95844044554383
390,3761,22,美股又大跌 难道今天A股又悬了？我的看法不一样！,百万实盘投资日记,08-23 22:05,0.13202141546347101
391,110,0,#聚焦热门中报解读，挖掘隐藏投资机会#我从来不相信业,时空亡灵,08-23 22:03,0.9993731255658123
392,90,0,大盘又要决定方向了，能源股起不来，大盘也费劲。,勃艮第京,08-23 22:03,0.0789706758342219
393,374,1,刚刚吃过晚饭，市场传来两条信息，一起来看看：1、任,坤阳股战场,08-23 22:03,0.20516867476321976
394,155,0,高控盘，严重低估！这么优秀（今年至少一元以上业绩；,A敬畏之心A,08-23 22:02,0.97721728454061
395,256,10, 60分钟的均线排列很不错啊[呲牙]，乐见其成,股虫已老,08-23 22:02,0.2880992161700835
396,1192,20, 你要做的就是别人换不掉的，那你做不到怪谁，就是你自,股友kou980516,08-23 22:01,0.028483694119117886
397,1555,19,华为的目标是活下去，大盘的目标是多少？,红火之点股成金,08-23 22:01,0.9722276595012889
398,1656,27,逝去的青春----《我在股市三十年》纪念篇,k线之吻,08-23 22:01,0.999988246689451
399,815,3,8月15日操作分享：新发基、军工、医疗、医消混等,安娜理财,08-23 22:01,0.06451519470470413
400,95,0,"T+0,T+0,T+0,T+0,.唯有T+0才能治愈大A，散户是最受伤",小阮阮取经,08-23 22:00,0.9485018393873678
401,81,0,拐点已至，上仓位,涅槃老二,08-23 22:00,0.42351873881327695
402,2473,59,股海中，一是找几只好股，二是做一个耐心的人。博弈往,投资之吻,08-23 21:59,0.2025378481069834
403,74,0,煤飞色舞，化工暴走,虾炒鸡蛋,08-23 21:59,0.5670461639188666
404,424,0,大盘回踩，板块创新低，大家抄底了没有？要注意这一点,小羊得亿,08-23 21:57,0.25009125451458813
405,2768,16,能源危机叠加极端天气，氢能源要飞上天,跟紧热点,08-23 21:56,0.06031300148058594
406,170,0,今天大家注意摩根大通的消息了吗？一、【摩根大通预计,短线操之盘手,08-23 21:56,0.04772606259671619
407,1258,30,哈哈哈哈.神奇不..服不...是不是跟预判走势一模一样…,天意_NICAI,08-23 21:54,0.2429688396972206
408,66,0, 明天看新能源车的表现了[发财][发财][发财],连涨18天,08-23 21:54,0.11151961132731136
409,311,2,【2022.08.23复盘】感冒了又喝多了是真的难受,A股市场情绪拆解,08-23 21:48,0.08114581764653317
410,15724,1055,【第六篇.恺英的后期走势？】,黄金大道kx,08-23 21:48,0.726184205187621
411,85,0,大部分新能源汽车企业都亏本啊，是技术不行还是说电池,泰迪多盈利,08-23 21:48,0.011345303620058922
412,74,0, $上证指数(SH000001)$,骑着毛驴坐高铁,08-23 21:47,0.5608304540994631
413,454,0,半导体调整，后市的趋势如何？,宁语财经,08-23 21:46,0.714819630317075
414,75,0,明多云转阴,艺海生辉,08-23 21:46,0.4737672181921908
415,664,0,大盘上涨无力，修复无力，下跌也基本无力属于横盘调整,王德发的布谢特,08-23 21:44,0.189774267208782
416,159,0,投资赚钱须重仓~！股票投资中，很多散户赚过50%、100%,坤阳股战场,08-23 21:43,0.9600283575152947
417,4851,17,2022.8.20周评：后半年投资机会已经到来，阴线就是买,加油吧铁子,08-23 21:42,0.9240989336213464
418,94,0,石油一涨万股枯,事件投资,08-23 21:42,0.12203372150399505
419,734,4,看看2500买茅台的或者2000块买茅台的，现在多少有点儿,卧龙说股到金,08-23 21:42,0.3205439446163699
420,227,0,股吧的评论 就这样影响了你的决策,京智木,08-23 21:42,0.41719131794661934
421,437,0,新能源车翻红，机会来临了吗？,大财财经,08-23 21:42,0.6972534877358672
422,1092,0,我去啊，这真的业绩逆转，没想到啊[色]宁德时代2022年,趋势交易的宣小妹,08-23 21:41,0.8394205701516599
423,141,3,明天新能源股大幅下挫带绷大盘,爱运动得丝诺,08-23 21:37,0.009785474486166956
424,81,0,大盘在20日线上缓缓振荡，等待消息面的转好！,CCXXFF,08-23 21:36,0.7455672915711541
425,302,0,8月23日回顾及8月24日预测,铁血看客,08-23 21:35,0.5520529942731729
426,879,9,《能源时代及未来主线》,真阳星君,08-23 21:34,0.8892034811277977
427,60,0,转发,正年轻之将军百战,08-23 21:34,0.5
428,71,0,转发,K8K8K8,08-23 21:33,0.5
429,64,0,明天向下变盘,恭喜暴富的诸葛亮,08-23 21:32,0.2669748115108529
430,113,0,#聚焦热门中报解读，挖掘隐藏投资机会#联创股份业绩大,YLSFGPDX,08-23 21:30,0.9999443925504579
431,85,0,明天上午指数不去拉升，就要回调，控制好仓位#“锂王,一米阳光辉煌灿烂,08-23 21:30,0.6175771555452232
432,366,0,明天上证大盘走势推演，大方向看涨，但还有回调3240下,缠论波浪,08-23 21:29,0.12250916080794783
433,88,1,明天大盘必上3300,改名求中签如意,08-23 21:29,0.76026435072177
434,60,0,逆是主流。,STECFFM,08-23 21:29,0.9304390473873692
435,84,0,明天可能反包大阳线，也不排除继续下杀的可能，当然目,工藤新e,08-23 21:29,0.044808413739467534
436,4387,48,基本面为本，技术面辅助,Nico酱炒股l,08-23 21:29,0.766762621673963
437,87,0,理性的投资者会不会买雅化集团?为什么？,俚夫摸尔,08-23 21:27,0.9774967781216192
438,68,0, 自我喝彩，王婆卖瓜！今天跌了！,泽润东方12751,08-23 21:26,0.05837509830669363
439,1308,37,8月,知难而行,08-23 21:25,0.32533265027251934
440,260,2,炒股太难了，假设有工作有饭吃绝对不干，不是人干的工,雨股痴,08-23 21:24,0.012659603997365099
441,110,0,我只想说，除了狐导，今年唯一让我叹为观止的神，每个,基民代表人物,08-23 21:23,0.18158421584724016
442,18800,519,今晚减持公告，短期利空（情绪上），中长期利好。基本,Rock_C,08-23 21:22,0.8553579757126012
443,1155,1,大a缩量成交10023亿收绿盘，证券冲高回落上涨乏力，变,申公股评,08-23 21:21,0.013144584762602163
444,2397,80,这个月过完，入市三年整，身心俱疲，做股票怎么这么难,永不服输张大胆,08-23 21:17,0.8348545668372496
445,198,7, 光伏还有很大发展空间，我们的山头非常多。,foobar2000v143,08-23 21:17,0.9630558540305533
446,417,0,A股面临新方向选择！题材热情有所下降，机会在哪里？,骑牛看熊,08-23 21:17,0.9955757773010727
447,6093,28,重要提醒：白酒调整结束，周一看涨,酷拉皮卡小杰,08-23 21:14,0.12217299367941692
448,2637,9,医疗板块又又又崩了，该如何自救？,洛小时,08-23 21:14,0.8753682410220773
449,77,0,明天就是破3300的日子[加油],一切皆为因果,08-23 21:14,0.8652836770749172
450,77,0,明天大盘收盘应该涨百分之0.70左右[呲牙],股友ze0ZWQ,08-23 21:11,0.8891515975770853
451,122,2,指数几乎没波动，自选股却跌的惨不忍睹，不会只有我一,股友7309983A5q,08-23 21:11,0.11241293288876686
452,667,2, 上证指数空方两拳，多方还以一脚，算是扯平了，明天继,jas123456,08-23 21:10,0.5370562074402176
453,429,1,这一波不知道要跌到哪了,渡_六尘,08-23 21:10,0.1225328364896422
454,5105,129,新开一个贴，今天精准逃顶南方精工,立于晨,08-23 21:10,0.8802489546568505
455,2869,34,22日下周一下跌，周初下跌做好头肩底后，开始3浪,于上云天,08-23 21:09,0.6702635183680595
456,76,0,全球煤，天然气价格再创新高,股友stCs3N,08-23 21:03,0.29762933498527966
457,615,1,震荡格局下该怎么操作,毛毛628,08-23 21:02,0.22363306523568005
458,1031,35,继续哈，这么震荡看能多久[呲牙]。周末愉快，休息哈[,股虫已老,08-23 21:00,0.2932926763452849
459,174,0,【欧奈尔每日市场回顾-22/08/23】光伏设备、电力、航,威廉欧奈尔,08-23 21:00,0.9962735374675095
460,264,1,房地产该启动了,感谢有你清风扬,08-23 20:59,0.6698410792633102
461,955,0,8.23 龙虎榜--大佬集体清仓，家人们扛下所有！,苏式龙虎榜,08-23 20:57,0.9387172143151776
462,99,0,银行股市净率只剩下0.4-0.5.而老股民的经验，上证指数,八十年韭菜精,08-23 20:57,0.9114773113084772
463,548,2,格林达的综合竞争力如何？,金太阳JTY,08-23 20:55,0.6880410362450601
464,79,0,#一年期、五年期LPR双双下调#有利于房地产，继续看好,缘来你在买基,08-23 20:55,0.5905870419783698
465,171,0,轮动速度有点快,封印浅谈,08-23 20:54,0.8727847079980419
466,283,3,下午反弹,霸飞特股神,08-23 20:54,0.4844449485763629
467,5133,79,上证站稳在这个关键点位就会继续上升,幸紫3,08-23 20:53,0.5889101927685549
468,929,4,早谈：机构徐翔之妻集体看空新能源，我们散户如何应对,王智俊,08-23 20:53,0.9028516928552969
469,191,0,复盘20220823,MusicPower,08-23 20:52,0.4737672181921908
470,96,0,越来越感觉炒股真是累啊，不想说亏了多少，唉，不看了,言行一致的狮子,08-23 20:52,0.06821290939123681
471,2850,16,券商股能否带动大盘【来一波行情？】,紫炎林333286,08-23 20:47,0.7055590519786515
472,113,0,我只想说，除了狐导，唯一让我叹为观止的神，每个月就,基民代表人物,08-23 20:46,0.1140838195186068
473,581,3,按预期走势，步步为营,木子趋势,08-23 20:44,0.8837390291982448
474,4718,35,厉害了！我的国！一个月净赚6800亿,淇河张文中,08-23 20:42,0.44942649627012354
475,2407,43,"各位股友大家好,准备抄底",暴炒股不入,08-23 20:41,0.4810998829146742
476,667,3,百万基金实盘：指数震荡能源股略强，现在买总比牛来了,王智俊,08-23 20:40,0.8940333894180735
477,529,1,北上资金和融资客均加仓超千万的业绩大增股。,辉哥侃股,08-23 20:40,0.8896913555310813
478,5452,27,今天，降息了！楼市大利好,骑扬满堂地孙尚香,08-23 20:40,0.2181773080900321
479,982,10,午评…,六个菠萝,08-23 20:40,0.4124760433043906
480,66,0,醍醐灌顶,發哥博鑫,08-23 20:38,0.8928007490393108
481,1319,30,大家都来探讨下周一机会在哪儿[害羞羞][害羞羞],东财柚子姐66,08-23 20:36,0.9541632703232036
482,64,0,明天能爬多高。,股友KythXH,08-23 20:36,0.18695966935959285
483,2319,58,2022年第二季度到了,青岛陈大哥,08-23 20:34,0.5147453371741988
484,353,2, 券商盘中发力但无奈红线压制这三条线大家可以回看一下,乐奇东尼,08-23 20:34,0.34603181429254515
485,1114,3,基金收评丨光伏上涨、白酒下跌，接下来如何操作？,戴少然,08-23 20:32,0.01187981237824376
486,173,0,2022年8月23日复盘（控制控制仓位，现在并非适宜重仓,白白胖胖0,08-23 20:29,0.03928173310673311
487,559,4,方向今天的板块可谓是一地鸡毛，指数到是没跌多少，很,蝙蝠捞金,08-23 20:27,0.9861941962606878
488,270,0,片仔癀：中药（茅）300元股价、风险太大、合理价158元,飞黄积玉的小乔,08-23 20:26,0.9836899126932788
489,83,0,转发,爱莉丝Alice,08-23 20:26,0.5
490,826,1,此消息对格力股价来说，是不能承受之重！,海龟社区,08-23 20:26,0.903009514818496
491,1591,5,百万基金实盘|8月23日大龙基金操作分享  白酒医药怎么,龙行天下虎呀,08-23 20:24,0.9911208826883067
492,188,0,大A近期注意排雷,骑扬满堂地孙尚香,08-23 20:24,0.8914654818865949
493,241,1,明天上午十点将独家消息（敬請期待）,吉米米4530,08-23 20:23,0.23980871260237913
494,90,0,明天能不能来个涨停板？,捉妖shdkguo,08-23 20:20,0.562894855845224
495,3046,15,今日A股走出独立行情了，外资却出逃92亿元，散户应该,股侠钟超,08-23 20:16,0.9877324974328945
496,100,0, 农发种业，持股中。,北海长亭V,08-23 20:15,0.3140822808639424
497,8150,289,二二年第八十九次交易～开始日期：22年1月1日，今日盈,疯皇捏盘,08-23 20:13,0.07228952680814882
498,4269,75, 【六十九万平台款炒股的未来……】二二年第九十次交易,疯皇捏盘,08-23 20:13,0.2768624482244203
499,1104,2,欧洲天然气价格大涨，煤炭光伏储能等能源替代走强,老股民老研究,08-23 20:12,0.8429023330601616
500,216,0,上证指数（2022.08.24 市场展望）,财富Talk,08-23 20:11,0.7266783654409007
501,117,1,今天各位亏多少,基民7013WQ0106,08-23 20:08,0.5526315789473685
502,199,1, 英强：兄弟科技鸭子张嘴了,叕抄底了,08-23 20:07,0.7747827250359565
503,82,0,只能做多的散户面对量化大数据和机器人越来越难赚到钱,金银兴隆得五散人,08-23 20:07,0.5911808917913538
504,220,0,煤炭石油等板块强势上涨，大盘探底回升，明日要变盘？,宇泽操盘,08-23 20:07,0.07686725065654954
505,79,0,每一次大跌都会怀疑板块是不是凶兆已现，每一次反抽都,拉萨军团抄底,08-23 20:05,0.006034589697482717
506,614,14, 新的一周开始了，先看看今天大A会有怎样表现，铁子们,每日一牛李逍遥,08-23 20:04,0.8542686426514543
507,348,0,收星后的运行。,萧峰论市,08-23 20:04,0.586375160707941
508,2083,6,未来大牛股:五洲同明，洲明光显让世界更精彩！,发现牛企,08-23 20:03,0.9998756185500819
509,75,0,哀鼓不能重锤，一锤就破，最后变成了破鼓,WYY先锋4087,08-23 20:02,0.7442842668089888
510,162,0,对当前市场行情的一点看法,加诗永郡,08-23 20:02,0.9635583717835668
511,75,0,周线通子金叉，三线粘合。,高雅的小散,08-23 20:01,0.14609649293416493
512,1604,10,坚定不移向储能行业转型 永泰能源2022年上半年扣非净,股友iI9oZN,08-23 20:00,0.6401293667060083
513,68,0,北向闻到味道了没有,股友2P86297q73,08-23 19:58,0.34194914535735854
