,阅读数,评论数,标题,作者,最后更新
303,3666,73,今晚帖子有点晚了,人称苏半仙啊,08-23 23:37
304,92,0,华仪600290公司是好公司，经营的产品也是好产品，公司,股东做短线,08-23 23:36
305,229,5, 2022.08.23今日盈利200，券商又要雄起了,小梅牛,08-23 23:35
306,5134,73, 今天盈利4281礼拜六礼拜天两天也没有闲着养了12年的小,大侠五哥,08-23 23:30
307,102,0,华为都有可能倒，那小盘股还能活吗？答案呼之欲出，注,获利盘与套牢盘,08-23 23:30
308,4501,7,光伏继续涨，今天能加仓吗？白酒、医药跌跌不休该怎么,是空小白啊,08-23 23:29
309,1488,32,中午收盘，券商态度已经很明确了，下午突破3300点！今,广东女侠,08-23 23:28
310,93,0,麻烦八月跌一下，我预测七月阴，八月阴，九月最低微破,莫名其妙被改名,08-23 23:27
311,111,0,执迷不悟是一种路径依赖现象,沉睡的号角,08-23 23:23
312,117,1,今天没什么多说的，属于打酱油的一天,十年一剑2016,08-23 23:22
313,5539,131,$恒生指数期货主力(HKINDEXF|HSI_M)$7月终落幕，如本,短线博弈008,08-23 23:21
314,1087,2,炒股，一旦在高位出现这8种信号，不要犹豫赶紧离场，,炒股养家56888,08-23 23:17
315,126,0, 明日预判,国际笨笨,08-23 23:17
316,481,15, md，北向资金上周进了59亿，今天下班打开手机一看，一,湘A操盘手,08-23 23:17
317,134,0, 一图读懂杭州银行2022年中报（机构抛弃招行买杭州银行,徒步滚雪球,08-23 23:15
318,3625,8,隔夜外围集体走弱，A股今天又是逆势反弹？,趋势与取舍,08-23 23:15
319,1036,5,上证指数：下周考验3200-20之间的支撑作用！超级主力,菜农择匠庄,08-23 23:15
320,5488,329,3284，关键位置！需要看票的朋友点赞留言，闲时一一回,前线股指,08-23 23:15
321,5991,292,明天冲高回落，留上影线。需要看票的朋友点赞留言，闲,前线股指,08-23 23:15
322,5401,301,注意，变盘在即！需要看票的朋友点赞留言，闲时一一回,前线股指,08-23 23:15
323,357,6,存量资金涨跌轮动,金苹果JN,08-23 23:15
324,67,0, $上证指数(SH000001)$,M51L00股市小庄家,08-23 23:15
325,1043,9,指数今天反弹还是缩量的情况，没有放量自然高度有限，,登顶PLY久幺吾韭,08-23 23:12
326,62,0, [图片],股市李鬼,08-23 23:10
327,275,0,2022年8月23日（周二）解盘,简单讲一下,08-23 23:10
328,62,0,今天个股没有暴跌。那明天个股补跌，明天底开低走,标致的射手,08-23 23:09
329,137,4,我一加重仓，大盘就会暴跌，我现在一直忍着不加,股友818e0w5910,08-23 23:08
330,78,0, 梦醒了！！！！,魔法小猫,08-23 23:06
331,72,0, 请问这是为什么呢？为什么指数都不一样的？[摊手][摊,yanfa20182337,08-23 23:06
332,62,0,有哪些曾经的白马，蓝筹现在还跌成的,周2年3,08-23 23:05
333,1113,7,夜已深，关于明日A股的行情，我想再强调几句，请大家,广东女侠,08-23 23:05
334,84,0,豫能控股，长春燃气，新潮能源三剑客。东宝生物，上海,股市李鬼,08-23 23:04
335,65,0,垃圾也炒上天了退出见好就收不玩了,吉祥如意地左冷禅,08-23 23:03
336,50,0,干,好牛背,08-23 23:01
337,140,2, 八月底就看能源天然气的持续性了,恒指zxc2v3t6,08-23 23:01
338,5508,112,个股暂不建议抄入，大盘調势未尽。,吉祥广进风清扬,08-23 22:58
339,136,1,尾盘拉升[想一下]老乡别走我还能砸[色][色][色],逢低不空逢高不多,08-23 22:57
340,95343,538,今日莫慌,萍踪狐影,08-23 22:57
341,694,3,对于上证指数来说，最主要的位置就是3230这个位置，只,蔚蓝尤佳,08-23 22:57
342,28338,35,今天是8月23号，截止早上6点10分钟，有3条重要消息，,股侠钟超,08-23 22:57
343,160,2, 本周结束，目前两个交易账户稍有获利！下周以稳为主，,飞哥短线,08-23 22:56
344,72,0,听说明天互联网国产软件云计算大数据可能有异动[为什,不看空不看多N,08-23 22:55
345,55,0,转发,股友29895Gu232,08-23 22:55
346,82,0,打短，今天明新四个点跑了，对于我这种今天买明天卖的,桂林大吊哥,08-23 22:54
347,130,0,本轮大周期判断一，全面大涨概率：极小原因：国际、国,无影95,08-23 22:52
348,101,2, 股票高开高走低开低走一点都不影响散户吃面,博乐金升,08-23 22:52
349,308,3,大盘这里还不是无脑蛮干的时候，接下来必须强势，如果,我是香克斯,08-23 22:51
350,92,0,就像通威向下游组件进攻一样，发电企业一定会向储能进,人生苦短淡然处之,08-23 22:50
351,81,0, 明天能给个一字么,阿专龙头,08-23 22:50
352,1117,7,st天润重见光明会进入倒计时吗？？？？？敬请拭目以待,智者兵法,08-23 22:50
353,501,1, 在疫情之下，软件稳定增速10.3%！,雾海渔夫,08-23 22:50
354,472,2,收评：市场方向，还是在光伏锂电电力能源今日市场震荡,好习惯终生受用,08-23 22:50
355,118,2,主力资金抛弃了新能源，锂电池，钠电池，半导体等！重,YLSFGPDX,08-23 22:49
356,484,10,A股生存录之每日总结（2022年8月23日）,鹰兄本色2030,08-23 22:49
357,9794,53,虚拟现实题材个股投资机会之分析,乐少侠,08-23 22:49
358,1002,4,很多朋友喜欢打板，打板的确赚钱很快，但同时风险也很,蔚蓝尤佳,08-23 22:47
359,57,0,#聚焦热门中报解读，挖掘隐藏投资机会#,年年暴富地丁春秋,08-23 22:46
360,2970,37,提醒一个风险，今天st盈方恢复上市，大概率上市即巅峰,陈浩南2022,08-23 22:42
361,73,0,倒车接人，赶紧买票上车！,生机成章地邀月,08-23 22:41
362,223,3, 按120分钟级别目前均线及下方macd形态看，个人认为…,炼炼8,08-23 22:41
363,1150,14, 早盘量能和上周五基本持平因此全天量能至少在4200亿以,乐奇东尼,08-23 22:38
364,1072,19,前贴提到过的暴风骤雨会出现在戊土段,玄维时空,08-23 22:37
365,785,4,st天润崛起之势已经进入倒计时刻'？战将们持有的千万,智者兵法,08-23 22:36
366,356,6, 帮我看看，买的是不是多了点。留那个,开朗得樱木花道,08-23 22:34
367,4350,6,白酒、医药、军工等调整，又给机会了?今日加这个,yi只小鱼,08-23 22:32
368,174,1,全场结束！拒绝下跌，彰显出A股的韧性神通广大。1、开,从股论基,08-23 22:31
369,176,4,今天只赚到一万块差评！震荡市，震到九月底再说吧,西郊蛇王,08-23 22:30
370,105,1,外资开始布局权重了，真聪名[赞],伪命题散户思维,08-23 22:25
371,1401,2,晚间消息面解读|公募老将减仓券商加仓新能源 意味着什,龙行天下虎呀,08-23 22:24
372,161,0,还是持续关注锂电,价值投资看人性,08-23 22:24
373,767,23,2022-8-22大盘短线3278压力考验3251长线支撑，周支撑3,古东昇,08-23 22:24
374,493,1, 今天北向资金在竭尽全力做空是决战吗？,jas123456,08-23 22:22
375,26557,715,聊几句，能慰藉（8.20晚）,畅享快乐,08-23 22:21
376,2781,14,短期风险加剧，大盘调整幅度可能超出预期,跟紧热点,08-23 22:20
377,1174,24,收盘，券商再次带头上攻，大盘依然无法突破！然而盘面,广东女侠,08-23 22:20
378,148,2,继续看涨煤炭股很简单，水电出力太少，支撑了煤炭需求,影春秋,08-23 22:19
379,256,4,希望大盘一直绿，反正我也不玩了[坏笑],花开暴富得游坦之,08-23 22:18
380,371,2,特高压，电力能源行业，盈利稳定，上涨趋势，短线两次,LeueL8,08-23 22:17
381,410,0,夜已深，关于明日A股的行情，我想再强调几句，请大家,坤阳股战场,08-23 22:17
382,202,0,【公司利好】2022.08.23 星期二,韭零后投资,08-23 22:13
383,67,0,内啡肽、内啡肽，痛苦的抑制清醒的释放。刚开始学习的,善于思考是否,08-23 22:13
384,69,0,转发,股海人生6666,08-23 22:12
385,88,0,#“锂王”涨停回应锂价分歧#从K线上看，新能源电池股,股友09y5h81552,08-23 22:10
386,67,0,解套王,云都m,08-23 22:10
387,288,0,823正经人交易日记,股市小晓生,08-23 22:08
388,84,0,北上资金走出100亿，降了0.05%，终于走上成熟之路。,股友15q377O725,08-23 22:07
389,87,0,储能概念买起来，送钱行情,光芒66,08-23 22:06
390,3761,22,美股又大跌 难道今天A股又悬了？我的看法不一样！,百万实盘投资日记,08-23 22:05
391,110,0,#聚焦热门中报解读，挖掘隐藏投资机会#我从来不相信业,时空亡灵,08-23 22:03
392,90,0,大盘又要决定方向了，能源股起不来，大盘也费劲。,勃艮第京,08-23 22:03
393,374,1,刚刚吃过晚饭，市场传来两条信息，一起来看看：1、任,坤阳股战场,08-23 22:03
394,155,0,高控盘，严重低估！这么优秀（今年至少一元以上业绩；,A敬畏之心A,08-23 22:02
395,256,10, 60分钟的均线排列很不错啊[呲牙]，乐见其成,股虫已老,08-23 22:02
396,1192,20, 你要做的就是别人换不掉的，那你做不到怪谁，就是你自,股友kou980516,08-23 22:01
397,1555,19,华为的目标是活下去，大盘的目标是多少？,红火之点股成金,08-23 22:01
398,1656,27,逝去的青春----《我在股市三十年》纪念篇,k线之吻,08-23 22:01
399,815,3,8月15日操作分享：新发基、军工、医疗、医消混等,安娜理财,08-23 22:01
400,95,0,"T+0,T+0,T+0,T+0,.唯有T+0才能治愈大A，散户是最受伤",小阮阮取经,08-23 22:00
401,81,0,拐点已至，上仓位,涅槃老二,08-23 22:00
402,2473,59,股海中，一是找几只好股，二是做一个耐心的人。博弈往,投资之吻,08-23 21:59
403,74,0,煤飞色舞，化工暴走,虾炒鸡蛋,08-23 21:59
404,424,0,大盘回踩，板块创新低，大家抄底了没有？要注意这一点,小羊得亿,08-23 21:57
405,2768,16,能源危机叠加极端天气，氢能源要飞上天,跟紧热点,08-23 21:56
406,170,0,今天大家注意摩根大通的消息了吗？一、【摩根大通预计,短线操之盘手,08-23 21:56
407,1258,30,哈哈哈哈.神奇不..服不...是不是跟预判走势一模一样…,天意_NICAI,08-23 21:54
408,66,0, 明天看新能源车的表现了[发财][发财][发财],连涨18天,08-23 21:54
409,311,2,【2022.08.23复盘】感冒了又喝多了是真的难受,A股市场情绪拆解,08-23 21:48
410,15724,1055,【第六篇.恺英的后期走势？】,黄金大道kx,08-23 21:48
411,85,0,大部分新能源汽车企业都亏本啊，是技术不行还是说电池,泰迪多盈利,08-23 21:48
412,74,0, $上证指数(SH000001)$,骑着毛驴坐高铁,08-23 21:47
413,454,0,半导体调整，后市的趋势如何？,宁语财经,08-23 21:46
414,75,0,明多云转阴,艺海生辉,08-23 21:46
415,664,0,大盘上涨无力，修复无力，下跌也基本无力属于横盘调整,王德发的布谢特,08-23 21:44
416,159,0,投资赚钱须重仓~！股票投资中，很多散户赚过50%、100%,坤阳股战场,08-23 21:43
417,4851,17,2022.8.20周评：后半年投资机会已经到来，阴线就是买,加油吧铁子,08-23 21:42
418,94,0,石油一涨万股枯,事件投资,08-23 21:42
419,734,4,看看2500买茅台的或者2000块买茅台的，现在多少有点儿,卧龙说股到金,08-23 21:42
420,227,0,股吧的评论 就这样影响了你的决策,京智木,08-23 21:42
421,437,0,新能源车翻红，机会来临了吗？,大财财经,08-23 21:42
422,1092,0,我去啊，这真的业绩逆转，没想到啊[色]宁德时代2022年,趋势交易的宣小妹,08-23 21:41
423,141,3,明天新能源股大幅下挫带绷大盘,爱运动得丝诺,08-23 21:37
424,81,0,大盘在20日线上缓缓振荡，等待消息面的转好！,CCXXFF,08-23 21:36
425,302,0,8月23日回顾及8月24日预测,铁血看客,08-23 21:35
426,879,9,《能源时代及未来主线》,真阳星君,08-23 21:34
427,60,0,转发,正年轻之将军百战,08-23 21:34
428,71,0,转发,K8K8K8,08-23 21:33
429,64,0,明天向下变盘,恭喜暴富的诸葛亮,08-23 21:32
430,113,0,#聚焦热门中报解读，挖掘隐藏投资机会#联创股份业绩大,YLSFGPDX,08-23 21:30
431,85,0,明天上午指数不去拉升，就要回调，控制好仓位#“锂王,一米阳光辉煌灿烂,08-23 21:30
432,366,0,明天上证大盘走势推演，大方向看涨，但还有回调3240下,缠论波浪,08-23 21:29
433,88,1,明天大盘必上3300,改名求中签如意,08-23 21:29
434,60,0,逆是主流。,STECFFM,08-23 21:29
435,84,0,明天可能反包大阳线，也不排除继续下杀的可能，当然目,工藤新e,08-23 21:29
436,4387,48,基本面为本，技术面辅助,Nico酱炒股l,08-23 21:29
437,87,0,理性的投资者会不会买雅化集团?为什么？,俚夫摸尔,08-23 21:27
438,68,0, 自我喝彩，王婆卖瓜！今天跌了！,泽润东方12751,08-23 21:26
439,1308,37,8月,知难而行,08-23 21:25
440,260,2,炒股太难了，假设有工作有饭吃绝对不干，不是人干的工,雨股痴,08-23 21:24
441,110,0,我只想说，除了狐导，今年唯一让我叹为观止的神，每个,基民代表人物,08-23 21:23
442,18800,519,今晚减持公告，短期利空（情绪上），中长期利好。基本,Rock_C,08-23 21:22
443,1155,1,大a缩量成交10023亿收绿盘，证券冲高回落上涨乏力，变,申公股评,08-23 21:21
444,2397,80,这个月过完，入市三年整，身心俱疲，做股票怎么这么难,永不服输张大胆,08-23 21:17
445,198,7, 光伏还有很大发展空间，我们的山头非常多。,foobar2000v143,08-23 21:17
446,417,0,A股面临新方向选择！题材热情有所下降，机会在哪里？,骑牛看熊,08-23 21:17
447,6093,28,重要提醒：白酒调整结束，周一看涨,酷拉皮卡小杰,08-23 21:14
448,2637,9,医疗板块又又又崩了，该如何自救？,洛小时,08-23 21:14
449,77,0,明天就是破3300的日子[加油],一切皆为因果,08-23 21:14
450,77,0,明天大盘收盘应该涨百分之0.70左右[呲牙],股友ze0ZWQ,08-23 21:11
451,122,2,指数几乎没波动，自选股却跌的惨不忍睹，不会只有我一,股友7309983A5q,08-23 21:11
452,667,2, 上证指数空方两拳，多方还以一脚，算是扯平了，明天继,jas123456,08-23 21:10
453,429,1,这一波不知道要跌到哪了,渡_六尘,08-23 21:10
454,5105,129,新开一个贴，今天精准逃顶南方精工,立于晨,08-23 21:10
455,2869,34,22日下周一下跌，周初下跌做好头肩底后，开始3浪,于上云天,08-23 21:09
456,76,0,全球煤，天然气价格再创新高,股友stCs3N,08-23 21:03
457,615,1,震荡格局下该怎么操作,毛毛628,08-23 21:02
458,1031,35,继续哈，这么震荡看能多久[呲牙]。周末愉快，休息哈[,股虫已老,08-23 21:00
459,174,0,【欧奈尔每日市场回顾-22/08/23】光伏设备、电力、航,威廉欧奈尔,08-23 21:00
460,264,1,房地产该启动了,感谢有你清风扬,08-23 20:59
461,955,0,8.23 龙虎榜--大佬集体清仓，家人们扛下所有！,苏式龙虎榜,08-23 20:57
462,99,0,银行股市净率只剩下0.4-0.5.而老股民的经验，上证指数,八十年韭菜精,08-23 20:57
463,548,2,格林达的综合竞争力如何？,金太阳JTY,08-23 20:55
464,79,0,#一年期、五年期LPR双双下调#有利于房地产，继续看好,缘来你在买基,08-23 20:55
465,171,0,轮动速度有点快,封印浅谈,08-23 20:54
466,283,3,下午反弹,霸飞特股神,08-23 20:54
467,5133,79,上证站稳在这个关键点位就会继续上升,幸紫3,08-23 20:53
468,929,4,早谈：机构徐翔之妻集体看空新能源，我们散户如何应对,王智俊,08-23 20:53
469,191,0,复盘20220823,MusicPower,08-23 20:52
470,96,0,越来越感觉炒股真是累啊，不想说亏了多少，唉，不看了,言行一致的狮子,08-23 20:52
471,2850,16,券商股能否带动大盘【来一波行情？】,紫炎林333286,08-23 20:47
472,113,0,我只想说，除了狐导，唯一让我叹为观止的神，每个月就,基民代表人物,08-23 20:46
473,581,3,按预期走势，步步为营,木子趋势,08-23 20:44
474,4718,35,厉害了！我的国！一个月净赚6800亿,淇河张文中,08-23 20:42
475,2407,43,"各位股友大家好,准备抄底",暴炒股不入,08-23 20:41
476,667,3,百万基金实盘：指数震荡能源股略强，现在买总比牛来了,王智俊,08-23 20:40
477,529,1,北上资金和融资客均加仓超千万的业绩大增股。,辉哥侃股,08-23 20:40
478,5452,27,今天，降息了！楼市大利好,骑扬满堂地孙尚香,08-23 20:40
479,982,10,午评…,六个菠萝,08-23 20:40
480,66,0,醍醐灌顶,發哥博鑫,08-23 20:38
481,1319,30,大家都来探讨下周一机会在哪儿[害羞羞][害羞羞],东财柚子姐66,08-23 20:36
482,64,0,明天能爬多高。,股友KythXH,08-23 20:36
483,2319,58,2022年第二季度到了,青岛陈大哥,08-23 20:34
484,353,2, 券商盘中发力但无奈红线压制这三条线大家可以回看一下,乐奇东尼,08-23 20:34
485,1114,3,基金收评丨光伏上涨、白酒下跌，接下来如何操作？,戴少然,08-23 20:32
486,173,0,2022年8月23日复盘（控制控制仓位，现在并非适宜重仓,白白胖胖0,08-23 20:29
487,559,4,方向今天的板块可谓是一地鸡毛，指数到是没跌多少，很,蝙蝠捞金,08-23 20:27
488,270,0,片仔癀：中药（茅）300元股价、风险太大、合理价158元,飞黄积玉的小乔,08-23 20:26
489,83,0,转发,爱莉丝Alice,08-23 20:26
490,826,1,此消息对格力股价来说，是不能承受之重！,海龟社区,08-23 20:26
491,1591,5,百万基金实盘|8月23日大龙基金操作分享  白酒医药怎么,龙行天下虎呀,08-23 20:24
492,188,0,大A近期注意排雷,骑扬满堂地孙尚香,08-23 20:24
493,241,1,明天上午十点将独家消息（敬請期待）,吉米米4530,08-23 20:23
494,90,0,明天能不能来个涨停板？,捉妖shdkguo,08-23 20:20
495,3046,15,今日A股走出独立行情了，外资却出逃92亿元，散户应该,股侠钟超,08-23 20:16
496,100,0, 农发种业，持股中。,北海长亭V,08-23 20:15
497,8150,289,二二年第八十九次交易～开始日期：22年1月1日，今日盈,疯皇捏盘,08-23 20:13
498,4269,75, 【六十九万平台款炒股的未来……】二二年第九十次交易,疯皇捏盘,08-23 20:13
499,1104,2,欧洲天然气价格大涨，煤炭光伏储能等能源替代走强,老股民老研究,08-23 20:12
500,216,0,上证指数（2022.08.24 市场展望）,财富Talk,08-23 20:11
501,117,1,今天各位亏多少,基民7013WQ0106,08-23 20:08
502,199,1, 英强：兄弟科技鸭子张嘴了,叕抄底了,08-23 20:07
503,82,0,只能做多的散户面对量化大数据和机器人越来越难赚到钱,金银兴隆得五散人,08-23 20:07
504,220,0,煤炭石油等板块强势上涨，大盘探底回升，明日要变盘？,宇泽操盘,08-23 20:07
505,79,0,每一次大跌都会怀疑板块是不是凶兆已现，每一次反抽都,拉萨军团抄底,08-23 20:05
506,614,14, 新的一周开始了，先看看今天大A会有怎样表现，铁子们,每日一牛李逍遥,08-23 20:04
507,348,0,收星后的运行。,萧峰论市,08-23 20:04
508,2083,6,未来大牛股:五洲同明，洲明光显让世界更精彩！,发现牛企,08-23 20:03
509,75,0,哀鼓不能重锤，一锤就破，最后变成了破鼓,WYY先锋4087,08-23 20:02
510,162,0,对当前市场行情的一点看法,加诗永郡,08-23 20:02
511,75,0,周线通子金叉，三线粘合。,高雅的小散,08-23 20:01
512,1604,10,坚定不移向储能行业转型 永泰能源2022年上半年扣非净,股友iI9oZN,08-23 20:00
513,68,0,北向闻到味道了没有,股友2P86297q73,08-23 19:58
514,70,0,日发日发，日发。,第一报到,08-23 19:57
515,148,0,周二收盘北向资金净流出个股最新动向！沪股通净流出前,做T小精灵,08-23 19:56
516,197,2,拉证券拉不动，机构在新能源舍不得出来,基民9B6ihV,08-23 19:55
517,124,0,周二收盘北向资金净流出个股最新动向！沪股通净流出前,做T小精灵,08-23 19:55
518,332,1,巴菲特投资语录（博海心投摘录）,博海心投,08-23 19:53
519,221,1,市场是否进行赛道切换。,京居报道,08-23 19:52
520,4317,267,应粉丝提议为各位朋友参考一下手里的g，大家发到这里,大漠孤星最新号,08-23 19:50
521,295,0,碳排放统计核算体系加速完善，蕴含哪些投资机会？,新华基金邓岳,08-23 19:50
522,133,1,HVO才是真正的新能源！別跑偏了！,股友3wjVBh,08-23 19:47
523,100,0,去景气度较高的行业板块看看，例如储能、逆变器、人造,七彩祥云踏脚下,08-23 19:45
524,101,1,3300啥时候突破？难道要留到九月份？,经常做梦,08-23 19:45
525,78,0,华工科技参与医药市场,股友qoUDOS,08-23 19:44
526,70,0,也许，的也许，秋来冬近，记得添衣啊！,江河湖雨,08-23 19:43
527,70,0,今年牛市应该是不可能牛市的了，入室半年亏了30%了[哭,基民2o85692W92,08-23 19:43
528,2520,11,消费电子，康冠科技，贯穿八九月！！！一个教训,悟空战股,08-23 19:39
529,92,0,[图片],股友qoUDOS,08-23 19:35
530,219,0,大盘头肩底形态,坐骑黑马123,08-23 19:34
531,76,0,转发,牛熊周期,08-23 19:32
532,1197,23,炒股的人真的好寂寞[滴汗]别人都拿我当……就我姐她们,红通通亮晶晶,08-23 19:31
533,85,0,指数还会回到3000点，上方3400这波过不去,股旺金来吾股丰登,08-23 19:31
534,514,10, 为啥老是觉得我是模拟盘呢？,海底老纵队,08-23 19:30
535,211,0, 这个有说服力么，证明我曾经持有他们。,海底老纵队,08-23 19:25
536,199,0,大A继续走稳何时大反击？看两个关键点！后市机会在哪,导演预判lzwzfa,08-23 19:25
537,123,1,拉一下白酒医药，大盘就上3300了。,股友170o85293K,08-23 19:24
538,85,0,今天应该是主力撤退明天熔断入场[色][色],股友QR28255556,08-23 19:23
539,122,1,明天,股海漫漫啊,08-23 19:23
540,155,5,啥时候拉一下白酒呀[哭][哭][哭][哭][哭][哭]一直亏一,倔强达利园21,08-23 19:22
541,2504,10,趋势走弱，及早离场,安泰_antai,08-23 19:22
542,306,3,大盘直线拉升，为什么我的票在那里一动不动？,方总8088,08-23 19:20
543,561,3,大盘一旦放量突破55日线3290点，将迎来加速上升（8-23,牛熊周期,08-23 19:20
544,725,2,平量日线假阳柱，上探下踩涨势缓——22年8月23日上证,德鸿看股,08-23 19:20
545,90,0,大家不要跑偏了，快看，这才是真正的新能源！,股友3wjVBh,08-23 19:19
546,117,3, 敢割我我就加仓,海底老纵队,08-23 19:19
547,1668,1,上证指数从诞生到稳定的五年震荡走势解析（走势本质规,李春林知乎,08-23 19:19
548,1107,21,大利好落地，A股周一喜迎开门红！明天是否还会继续涨,鹏哥分析,08-23 19:18
549,70,0,HVO才是真正的新能源，快看！HVO才是真正的新能源！,股友3wjVBh,08-23 19:17
550,116,1,变盘已经迫在眉睫，明天再不上，减仓为主，犹豫了这么,新手V小石头,08-23 19:15
551,65,0, HVO才是真正的新能源，快看！,股友3wjVBh,08-23 19:15
552,111,1,这么大的市场被北向梆架了,优秀的花烛,08-23 19:14
553,67,0,石油和水，这两样战略资源，无比重要！,无当飞将,08-23 19:14
554,1141,13,上周五提示抄底的，今天都赚了吧。,摩羯海星,08-23 19:14
555,2277,14,好看不中用的利君,金天快乐,08-23 19:14
556,75,0,暴风雨来临前的寂静，撤！,坚心不动,08-23 19:13
557,206,0,窄幅震荡：谁能扛起下轮大旗？磨叽折腾是为后期上攻蓄,云欣财经,08-23 19:13
558,2025,38,黄国东：3300点在下周将进行两次争夺，多空谁胜？,黄国东论市,08-23 19:10
559,83,0, 快看！这才是真正的新能源！,股友3wjVBh,08-23 19:10
560,2492,34,用宏观的视角来操作当下！,君隆寶,08-23 19:09
561,6802,53,黄国东：Ａ股需要疗伤，下周分析,黄国东论市,08-23 19:09
562,58,0,千股跌停,大盘邪门,08-23 19:08
563,291,2,大家一起砸起来，一起做空赚大钱！,招财善贾滴滴滴,08-23 19:04
564,2494,22,2022.8.22复盘,大鹏仗剑走天涯,08-23 19:03
565,123,0,你们不要忘记了伤疤,只看短线指标,08-23 19:02
566,253,0,明天可以继续跌了,江水流春去欲尽,08-23 18:59
567,396,1,熊市存量搏奕，机构出货也难，会上下振荡迷惑散户进场,霖海123,08-23 18:55
568,64,0,[牛][牛][牛][牛][牛][牛][牛][牛][牛][牛][牛][牛][,YardSaleJun,08-23 18:52
569,66,0,#聚焦热门中报解读，挖掘隐藏投资机会#,九德思德9682,08-23 18:51
570,6891,61,大集涅槃：重整结束，战投入局在即。,捉妖师666,08-23 18:49
571,80,0,学习每日计划8月23日1.常宝股份：大涨不封板减仓，缩,三人行必有我师11,08-23 18:49
572,218,1,小鹏汽车二季度营收高于预期，同比增长97.7%，但净利,东哥侃市,08-23 18:49
573,150,2, 比较耐人寻味的走法，指数看着走3浪上涨，但是期指却,ssy244260,08-23 18:47
574,1332,5,明天冷门股将大涨！什么是冷门股,吉米米4530,08-23 18:43
575,284,1,顶住外围压力，整体显强,顺势交易师,08-23 18:42
576,2048,13,8月22日晚间！就在刚刚，A股传出重磅消息，或将引发明,鹏哥分析,08-23 18:42
577,3531,16,良性震荡大盘砸不动，最强赛道补跌开始出现！,红火之点股成金,08-23 18:42
578,216,0,上证收星，主题活跃，明天行情看哪里？,大力出奇基大力,08-23 18:42
579,1916,9,板块轮动分析(军工与农业),江南春信233,08-23 18:40
580,98,1,已经预感到9月份应该会比8月份好做一些。,A股没有信仰,08-23 18:38
581,1790,2,风电、锂电、家电等热门板块，是否会继续上涨？,戴少然,08-23 18:37
582,110,0,数据显示，上半年全国规上白酒企业酿酒总产量为375.09,年年有余的吕布,08-23 18:37
583,109,0,如今，中国白酒行业面临“由量到质”的消费转变，很多,年年有余的吕布,08-23 18:36
584,99,0,大盘在等待一个突破的时机、向上还是向下。向下的概率,股友oQWnQu,08-23 18:35
585,187,3, 券商已经在走三浪主升，目前已经运行了半个月，根据时,A股王小亮,08-23 18:35
586,2512,28,8月的上半月重要节点8月11日已经登陆，是上还是下？如,金铭预测,08-23 18:32
587,81,0,头肩底形态已渐初成，一幅波澜壮阔的爆拉行情画面即将,今晚八点半_COM,08-23 18:29
588,94,0,每次北向资金大幅流出，第二天盘面都是普涨，，大胆买,财经直男,08-23 18:28
589,82,0,国际电工委员会表示，由中国主导，统筹开展新型电力系,基民18856X5P89,08-23 18:27
590,82,0,明天跌的可能性较大，估计跌到3240左右，假如明天涨的,股友8K16O88751,08-23 18:26
591,214,0,明日周三8月24号重点关注这四大最具爆发潜力方向！建,吾本将本求财,08-23 18:26
592,352,0,即将迎来最具爆发潜力的3匹汗血宝马，值得收藏研究！,吾本将本求财,08-23 18:25
593,187,0,2022年08月23日：每日一只低位低价首板股600617国新能,吾本将本求财,08-23 18:25
594,584,5,不第后赋菊待到秋来九月八，我花开后百花杀。冲天香阵,男扮女装,08-23 18:24
595,79,0,上证指数已经连续两天站上12日均线，MAcD有向上老鸭头,专业的雷户,08-23 18:24
596,19913,44,早评：不要倒在黎明前,好习惯终生受用,08-23 18:24
597,591,2,论中概股的一带一路，上证B股指数三季度将引来十倍涨,吉米米4530,08-23 18:23
598,74,0,十字星成灾,股友R6h6825518,08-23 18:23
599,84,0,期货龙虎榜来看，这周剩下几天惨了,bluepig888888,08-23 18:22
600,2278,4,打一拳再给个枣，这样的行情怎么办？及近日半年报披露,天咨操盘君,08-23 18:22
601,72,0,游子融资买入小盘股炒小盘股、赚的满满的、买入中大盘,飞黄积玉的小乔,08-23 18:21
602,131,0,8月23日 在证券市场纠纠结结的时候，我来也！,我是987,08-23 18:20
603,63,0,#聚焦热门中报解读，挖掘隐藏投资机会#奖金太少了，都,笑对人生9898,08-23 18:20
604,21305,20,好消息|北上资金大幅抄底药明康德，医疗要起飞了吗？,小尘理财,08-23 18:20
605,745,4,格林达：严重被忽视的高成长兼低估值电子材料公司（对,宏图有余得何书桓,08-23 18:19
606,170,2,今天会有多少绿？,日月升停,08-23 18:18
607,1302,3,网友炸锅|医疗暴跌超18%，该清仓还是梭哈抄底？,小尘理财,08-23 18:18
608,2181,46,炒股十余年，曾想放弃，后来发现山顶风景真美！如果你,鹏哥分析,08-23 18:17
609,60,0,转发,退市三毛,08-23 18:15
610,1012,15, 流入，没毛病。[强壮],别跟庄斗气,08-23 18:12
611,396,8, 2022.08.22今日盈利180，每次新建仓的股就一路跌[惨!,小梅牛,08-23 18:10
612,67,0,#聚焦热门中报解读，挖掘隐藏投资机会#300889爱克股份,拿刀的猎人,08-23 18:09
613,1398,29,晚上复盘，请所有人为我见证，明日大盘将强势突破3300,广东女侠,08-23 18:06
614,56,0, 加油，大A,shajlop,08-23 18:04
615,73,0,上证明阴线,协和南百,08-23 18:02
